frame,nrD,nrV,nrD_ratio,nrV_ratio,head_angle,dhead_dt,theta_rad,theta_deg,bin_index,binned_theta_deg,binned_theta_rad,polar_x,polar_y
84,0.9348546265810924,1.4596987092819151,0.3904087716819081,0.6095912283180918,67.80296016,7.385865435,0.1085034934344042,6.216792236216801,0,5.0,0.0872664625997164,0.9961946980917455,0.0871557427476581
85,0.9252125075750124,1.4345967642276856,0.3920708841304903,0.6079291158695097,73.528293318,2.860515338000006,0.0388839914200263,2.2278885989904116,0,5.0,0.0872664625997164,0.9961946980917455,0.0871557427476581
86,0.9310208566640176,1.43278231728881,0.3938656428433229,0.606134357156677,73.52399083600001,-3.053330488999997,6.2416807995219985,357.6219668804518,35,355.0,6.19591884457987,0.9961946980917455,-0.0871557427476583
87,0.8842074024306311,1.425273097874865,0.3828598692708897,0.6171401307291103,67.42163234,-7.764925721000004,6.168520849116419,353.43021049282567,35,355.0,6.19591884457987,0.9961946980917455,-0.0871557427476583
88,0.8775576470527763,1.4119408872910526,0.3832968809059686,0.6167031190940314,57.994139394,-11.439298942999995,6.088436118809654,348.8416934428046,34,345.0,6.021385919380437,0.9659258262890684,-0.2588190451025207
89,0.9372797157039312,1.3929632111819292,0.4022240363396416,0.5977759636603583,44.54303445400001,-14.3242054923,5.972048635076407,342.173181836742,34,345.0,6.021385919380437,0.9659258262890684,-0.2588190451025207
90,0.9637491275598368,1.3690982573355392,0.4131213785350383,0.5868786214649617,29.345728409400003,-15.6178410663,5.794109569830459,331.97802438764626,33,335.0,5.8468529941810035,0.9063077870366496,-0.4226182617407
91,0.94606239676651,1.3417048848983524,0.4135308710587197,0.5864691289412802,13.307352321400009,-15.329612644,5.4272870462578275,310.9606419565963,31,315.0,5.497787143782138,0.7071067811865474,-0.7071067811865477
92,1.0093755180716166,1.3127144676662843,0.4346840666258085,0.5653159333741914,-1.3134968785999943,-15.306672666,4.6267866415467385,265.0953472681366,26,265.0,4.625122517784973,-0.0871557427476582,-0.9961946980917455
93,1.0596265888899936,1.2843040476439198,0.4520725026474828,0.5479274973525172,-17.305993010599995,-15.129399055,3.8599857512490714,221.16089252720624,22,225.0,3.9269908169872414,-0.7071067811865477,-0.7071067811865475
