frame,25px sum,25px mean,10px sum,10px mean
410,197424,7896.96,89504,8950.4
411,200336,8013.44,92304,9230.4
412,211280,8451.2,100688,10068.8
413,206688,8267.52,89152,8915.2
414,259104,10364.16,129200,12920.0
415,252160,10086.4,124032,12403.2
416,249424,9976.96,125728,12572.8
417,228800,9152.0,105440,10544.0
418,224896,8995.84,105984,10598.4
419,232528,9301.12,113136,11313.6
420,229376,9175.04,109904,10990.4
421,224192,8967.68,105280,10528.0
422,217344,8693.76,106128,10612.8
423,214592,8583.68,105312,10531.2
424,205120,8204.8,96896,9689.6
425,197920,7916.8,99440,9944.0
426,176160,7046.4,90528,9052.8
427,196128,7845.12,98080,9808.0
428,185872,7434.88,100672,10067.2
429,0,nan,0,nan
430,156848,6273.92,83504,8350.4
431,158848,6353.92,85296,8529.6
432,165888,6635.52,89648,8964.8
433,164448,6577.92,86768,8676.8
434,162880,6515.2,88720,8872.0
435,163360,6534.4,91536,9153.6
436,167888,6715.52,94752,9475.2
437,166304,6652.16,92800,9280.0
438,165024,6600.96,92320,9232.0
439,174832,6993.28,95696,9569.6
440,170784,6831.36,94800,9480.0
441,179536,7181.44,99552,9955.2
442,207904,8316.16,116272,11627.2
443,194208,7768.32,105456,10545.6
444,174096,6963.84,91200,9120.0
445,162400,6496.0,83536,8353.6
446,190736,7629.44,105120,10512.0
447,200256,8010.24,117776,11777.6
448,177792,7111.68,96816,9681.6
449,179376,7175.04,90880,9088.0
450,188944,7557.76,98208,9820.8
451,187472,7498.88,97248,9724.8
452,172336,6893.44,87424,8742.4
453,168528,6741.12,90960,9096.0
454,163440,6537.6,89936,8993.6
455,165680,6627.2,92240,9224.0
456,161424,6456.96,89568,8956.8
457,164848,6593.92,92400,9240.0
458,167584,6703.36,91968,9196.8
459,173504,6940.16,97248,9724.8
460,177440,7097.6,100720,10072.0
461,179360,7174.4,100448,10044.8
462,177152,7086.08,98224,9822.4
463,172576,6903.04,92768,9276.8
464,168768,6750.72,89504,8950.4
465,170672,6826.88,89168,8916.8
466,176144,7045.76,92000,9200.0
467,182624,7304.96,94512,9451.2
468,175520,7020.8,86752,8675.2
469,175216,7008.64,89392,8939.2
470,169376,6775.04,83152,8315.2
471,128336,5133.44,60656,6065.6
472,0,nan,0,nan
473,0,nan,0,nan
474,157584,6303.36,75152,7515.2
475,160832,6433.28,79280,7928.0
476,159280,6371.2,80048,8004.8
477,151920,6076.8,71648,7164.8
478,150176,6007.04,71424,7142.4
479,151408,6056.32,72512,7251.2
480,153264,6130.56,74640,7464.0
481,147744,5909.76,68944,6894.4
482,150480,6019.2,70384,7038.4
483,146832,5873.28,68560,6856.0
484,142144,5685.76,63520,6352.0
485,146336,5853.44,68000,6800.0
486,144208,5768.32,66368,6636.8
487,145840,5833.6,68768,6876.8
488,146304,5852.16,66608,6660.8
489,153744,6149.76,76672,7667.2
490,151360,6054.4,72912,7291.2
491,146672,5866.88,67632,6763.2
492,146880,5875.2,68704,6870.4
493,150096,6003.84,73856,7385.6
494,151824,6072.96,74112,7411.2
495,152848,6113.92,75472,7547.2
496,149504,5980.16,70128,7012.8
497,153088,6123.52,73328,7332.8
498,155632,6225.28,78224,7822.4
499,157232,6289.28,77152,7715.2
500,142000,5680.0,58272,5827.2
501,163328,6533.12,85680,8568.0
502,158640,6345.6,78352,7835.2
503,163168,6526.72,83520,8352.0
504,167968,6718.72,88224,8822.4
505,169136,6765.44,86384,8638.4
506,173712,6948.48,92096,9209.6
507,169712,6788.48,85040,8504.0
508,173536,6941.44,90096,9009.6
509,172720,6908.8,92592,9259.2
510,167184,6687.36,81008,8100.8
511,164048,6561.92,79568,7956.8
512,148432,5937.28,64048,6404.8
513,173504,6940.16,90688,9068.8
514,150368,6014.72,65648,6564.8
515,162272,6490.88,77504,7750.4
516,164048,6561.92,76800,7680.0
517,0,nan,0,nan
518,170016,6800.64,90400,9040.0
519,172624,6904.96,91520,9152.0
520,172032,6881.28,92896,9289.6
521,0,nan,0,nan
522,171440,6857.6,94400,9440.0
523,166096,6643.84,85616,8561.6
524,168608,6744.32,92960,9296.0
525,164720,6588.8,88752,8875.2
526,167952,6718.08,93280,9328.0
527,166240,6649.6,85408,8540.8
528,167648,6705.92,90976,9097.6
529,164224,6568.96,84800,8480.0
530,162512,6500.48,83696,8369.6
531,160624,6424.96,81616,8161.6
532,157664,6306.56,75392,7539.2
533,165936,6637.44,89280,8928.0
534,160960,6438.4,79584,7958.4
535,166320,6652.8,88448,8844.8
536,164880,6595.2,86656,8665.6
537,162768,6510.72,85904,8590.4
538,161648,6465.92,82016,8201.6
539,160592,6423.68,82256,8225.6
540,159152,6366.08,82608,8260.8
541,0,nan,0,nan
542,160864,6434.56,84928,8492.8
543,159392,6375.68,83728,8372.8
544,159296,6371.84,86560,8656.0
545,155808,6232.32,81888,8188.8
546,156576,6263.04,85504,8550.4
547,155280,6211.2,84240,8424.0
548,154400,6176.0,79136,7913.6
549,153840,6153.6,79392,7939.2
550,152848,6113.92,79520,7952.0
551,153328,6133.12,81440,8144.0
552,153552,6142.08,78864,7886.4
