timestamp,X_motor,Y_motor,X_centroid,Y_centroid
15:01:25.836346,20494.275750,27870.340500,19486.419750,28710.220500
15:01:25.935038,20486.274750,27878.151000,19814.370750,28382.079000
15:01:26.039371,20477.273625,27884.389875,20309.297625,28052.365875
15:01:26.133557,20473.701750,27886.533000,20809.653750,27550.581000
15:01:26.239123,20475.130500,27883.818375,20811.082500,27547.866375
15:01:26.346764,20478.416625,27880.437000,20814.368625,27544.485000
15:01:26.446211,20481.607500,27877.436625,20817.559500,27541.484625
15:01:26.538987,20484.131625,27874.531500,20820.083625,27538.579500
15:01:26.637576,20487.703500,27871.102500,20823.655500,27535.150500
15:01:26.744928,20491.370625,27867.673500,20827.322625,27531.721500
15:01:26.838964,20493.656625,27865.054125,20829.608625,27529.102125
15:01:26.937590,20497.133250,27861.720375,20665.109250,27693.744375
15:01:27.040300,20500.228875,27859.434375,20500.228875,27691.458375
15:01:27.138907,20500.514625,27857.862750,20500.514625,27689.886750
15:01:27.233046,20500.514625,27856.291125,20500.514625,27688.315125
15:01:27.331435,20500.514625,27854.719500,20500.514625,27686.743500
15:01:27.440013,20500.514625,27853.147875,20500.514625,27853.147875
15:01:27.537130,20500.514625,27853.147875,20500.514625,27853.147875
15:01:27.645869,20500.514625,27853.147875,20500.514625,27853.147875
15:01:27.741865,20500.514625,27853.147875,20500.514625,27853.147875
15:01:27.842874,20500.514625,27853.147875,20500.514625,27853.147875
15:01:27.939394,20500.514625,27853.147875,20500.514625,27853.147875
15:01:28.035470,20500.514625,27853.147875,20500.514625,27853.147875
15:01:28.136283,20500.514625,27853.147875,20332.538625,27853.147875
15:01:28.236788,20499.181125,27853.147875,20499.181125,27853.147875
15:01:28.334894,20498.943000,27853.147875,20498.943000,27853.147875
15:01:28.434660,20498.943000,27853.147875,20498.943000,27685.171875
15:01:28.535385,20498.943000,27851.576250,20498.943000,27683.600250
15:01:28.638363,20498.943000,27850.004625,20498.943000,27850.004625
15:01:28.741869,20498.943000,27850.004625,20498.943000,27850.004625
15:01:28.841677,20498.943000,27850.004625,20498.943000,28017.980625
15:01:28.935198,20498.943000,27851.576250,20330.967000,28019.552250
15:01:29.033983,20497.561875,27853.147875,20329.585875,28189.099875
15:01:29.144864,20495.942625,27856.100625,20327.966625,28360.028625
15:01:29.238077,20494.752000,27858.910500,20326.776000,28362.838500
15:01:29.333591,20492.989875,27864.720750,20492.989875,28368.648750
15:01:29.436304,20492.656500,27868.911750,20660.632500,28204.863750
15:01:29.539260,20493.990000,27873.198000,20493.990000,28041.174000
15:01:29.636001,20494.228125,27874.960125,20326.252125,27706.984125
15:01:29.736291,20492.894625,27873.388500,20324.918625,27369.460500
15:01:29.837849,20491.323000,27870.197625,20323.347000,27366.269625
