a,time,aligned_time
1.033923660238132,13.4,-7.6
1.0748747648537649,13.5,-7.5
1.0967507230404925,13.6,-7.4
1.094136318185042,13.7,-7.300000000000001
1.0633938822860185,13.8,-7.199999999999999
1.0066676863483182,13.9,-7.1
0.9344600000734162,14.0,-7.0
0.8644571653092283,14.1,-6.9
0.8163278278064778,14.2,-6.800000000000001
0.8046374086851998,14.3,-6.699999999999999
0.8332878769380121,14.4,-6.6
0.894226150821306,14.5,-6.5
0.9710013015787012,14.6,-6.4
1.0453559936338102,14.7,-6.300000000000001
1.103736770951146,14.8,-6.199999999999999
1.140996440941523,14.9,-6.1
1.1601593800570822,15.0,-6.0
1.1688552449524658,15.1,-5.9
1.1741335439505152,15.2,-5.800000000000001
1.1778267975937484,15.3,-5.699999999999999
1.1746526932450096,15.4,-5.6
1.154569417173105,15.5,-5.5
1.109030240384807,15.6,-5.4
1.0381465046232212,15.7,-5.300000000000001
0.9541976152399324,15.8,-5.199999999999999
0.8783339104130996,15.9,-5.1
0.8315048244178228,16.0,-5.0
0.8247960107343868,16.1,-4.899999999999999
0.8551422965831471,16.2,-4.800000000000001
0.908857739324209,16.3,-4.699999999999999
0.9700923619273067,16.4,-4.600000000000001
1.0281968521031928,16.5,-4.5
1.0793624484330837,16.6,-4.399999999999999
1.1226327508542238,16.7,-4.300000000000001
1.1547019594021024,16.8,-4.199999999999999
1.1684662767266785,16.9,-4.100000000000001
1.1568383865326282,17.0,-4.0
1.118832316888391,17.1,-3.8999999999999986
1.0630350875104484,17.2,-3.8000000000000007
1.005612300244781,17.3,-3.6999999999999993
0.9639809856284302,17.4,-3.6000000000000014
0.949987676192236,17.5,-3.5
0.9661409144575642,17.6,-3.3999999999999986
1.0060255713549748,17.7,-3.3000000000000007
1.0576765899765883,17.8,-3.1999999999999993
1.1078891804113118,17.9,-3.1000000000000014
1.1459903801029878,18.0,-3.0
1.1663712674125737,18.1,-2.8999999999999986
1.169395828580183,18.2,-2.8000000000000007
